Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 115, 1,      69715,    0.0,      1.05, 2,      69715, -120.0,      1.05, 3,      69715,  120.0,      1.05, 0, 0, 0, 0
"_HVMV_SUB_LSB", 12.47, 1,    7576.59,  -29.4,    1.0524, 2,     7553.7, -148.9,    1.0492, 3,    7570.22,   91.1,    1.0515, 0, 0, 0, 0
"HVMV_SUB_48332", 12.47, 1,    7576.59,  -29.4,    1.0524, 2,     7553.7, -148.9,    1.0492, 3,    7570.22,   91.1,    1.0515, 0, 0, 0, 0
"M1009763", 12.47, 1,    7253.17,  -31.7,    1.0074, 2,    7334.55, -149.8,    1.0187, 3,    7397.61,   95.8,    1.0275, 0, 0, 0, 0
"L2673322", 12.47, 1,    3675.21,   35.4,   0.51048, 2,    7334.39, -149.8,    1.0187, 3,    3675.21,   35.4,   0.51048, 4, 1.65489E-020,   35.4, 2.2986E-024
"M1069148", 12.47, 3,    7505.09,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2673309", 12.47, 3,       7505,   91.2,    1.0424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069588", 12.47, 2,    7517.31, -148.6,    1.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2804270", 12.47, 2,    7517.29, -148.6,    1.0441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M3036164", 12.47, 2,    7273.23, -149.6,    1.0102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2935553", 12.47, 2,    7272.39, -149.6,    1.0101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1209749", 12.47, 2,     7594.7, -148.5,    1.0549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L2748840", 12.47, 2,    7594.62, -148.5,    1.0549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108264", 12.47, 2,     7493.8, -149.0,    1.0409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1108263", 12.47, 2,    7493.46, -149.0,    1.0408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3085398", 12.47, 1,    7285.78,  -31.7,     1.012, 2,    7366.77, -149.7,    1.0232, 3,    7399.93,   95.7,    1.0278, 0, 0, 0, 0
"M1026891", 12.47, 1,    7283.37,  -31.7,    1.0116, 2,    7362.49, -149.8,    1.0226, 3,    7399.59,   95.7,    1.0278, 0, 0, 0, 0
"L3216367", 12.47, 1,    7339.99,  -31.3,    1.0195, 2,    7348.62, -149.5,    1.0207, 3,    7375.07,   95.5,    1.0244, 0, 0, 0, 0
"M1069468", 12.47, 1,    7339.44,  -31.3,    1.0194, 2,    7347.46, -149.5,    1.0205, 3,    7374.91,   95.5,    1.0244, 0, 0, 0, 0
"M1142800", 12.47, 2,    7616.88, -148.0,     1.058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1142799", 12.47, 2,    7616.75, -148.0,    1.0579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047592", 12.47, 1,    7383.94,  -31.3,    1.0256, 2,    7403.56, -149.4,    1.0283, 3,    7408.39,   95.6,     1.029, 0, 0, 0, 0
"P827512", 12.47, 3,    7408.39,   95.6,     1.029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1047339", 12.47, 1,    7436.38,  -30.5,    1.0329, 2,    7415.03, -150.1,    1.0299, 3,    7532.81,   90.6,    1.0463, 0, 0, 0, 0
"P895104", 12.47, 1,    7436.36,  -30.5,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1026915", 12.47, 1,     7284.2,  -31.7,    1.0118, 2,    7368.96, -149.7,    1.0235, 3,    7399.52,   95.7,    1.0278, 0, 0, 0, 0
"M1026920", 12.47, 1,    7282.45,  -31.7,    1.0115, 2,    7368.62, -149.7,    1.0235, 3,    7399.17,   95.7,    1.0277, 0, 0, 0, 0
"N1138596", 12.47, 1,    7322.87,  -31.2,    1.0171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"L3254207", 12.47, 1,     7322.6,  -31.2,    1.0171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"M1069464", 12.47, 1,    7338.57,  -31.3,    1.0193, 2,    7345.38, -149.5,    1.0203, 3,    7374.65,   95.5,    1.0243, 0, 0, 0, 0
"P873787", 12.47, 2,    7345.37, -149.5,    1.0203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"N1144665", 12.47, 1,    7407.05,  -31.2,    1.0288, 2,     7407.6, -149.2,    1.0289, 3,    7407.77,   95.6,    1.0289, 0, 0, 0, 0
"M1047515", 12.47, 1,     7402.7,  -31.2,    1.0282, 2,    7405.99, -149.2,    1.0287, 3,    7405.72,   95.6,    1.0286, 0, 0, 0, 0
"N1137002", 12.47, 1,     7374.3,  -31.2,    1.0243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
