Line,bus1,bus2
Line.HVMV_Sub_connector,bus1=_HVMV_Sub_LSB,bus2=HVMV_Sub_48332
Line.LN5502549-1,bus1=M1009763.2,bus2=L2673322.2
Line.LN6259988-1,bus1=M1069148.3,bus2=L2673309.3
Line.LN6077796-1,bus1=M1069588.2,bus2=L2804270.2
Line.LN5835135-2,bus1=M3036164.2,bus2=L2935553.2
Line.LN5896826-1,bus1=M1209749.2,bus2=L2748840.2
Line.LN5714038-1,bus1=M1108264.2,bus2=M1108263.2
Line.LN5653457-1,bus1=L3085398,bus2=M1026891
Line.LN5835173-1,bus1=L3216367,bus2=M1069468
Line.LN6321415-1,bus1=M1142800.2,bus2=M1142799.2
Line.LN5565092-1,bus1=M1047592.3,bus2=P827512.3
Line.LN6073648-1,bus1=M1047339.1,bus2=P895104.1
Line.LN5774457-1,bus1=M1026915,bus2=M1026920
Line.LN5534966-3,bus1=N1138596.1,bus2=L3254207.1
Line.LN5859996-1,bus1=M1069464.2,bus2=P873787.2
Line.LN6138610-2,bus1=N1144665,bus2=M1047515
Line.LN6258435-3,bus1=N1137002.1,bus2=M1047707.1
Line.LN5804790-1,bus1=L2729406.3,bus2=L2897768.3
Line.LN6900591-14,bus1=L3649301.1,bus2=L3649302.1
Line.LN6409873-1,bus1=L2970842.2,bus2=M1089113.2
Line.LN6014135-1,bus1=M1047312.1,bus2=P893163.1
Line.LN6077784-1,bus1=L2822871,bus2=M1026872
Line.LN5744338-1,bus1=M1026312.2,bus2=L2973163.2
Line.LN6991381-4,bus1=L3728038.1,bus2=L3728039.1
Line.LN5774480-1,bus1=M1069567.2,bus2=M1069582.2
Line.LN5986938-3,bus1=N1140830.1,bus2=L3216351.1
Line.LN5894230-1,bus1=L2952007.3,bus2=L2861158.3
Line.LN5683858-3,bus1=N1140827,bus2=M1026726
Line.LN5920279-5,bus1=L2730106,bus2=N1142099
Line.LN6439600-1,bus1=M1026658.1,bus2=L3172805.1
Line.LN5589097-1,bus1=P895112.1,bus2=L3048962.1
Line.LN5651975-1,bus1=L2991914,bus2=M1047503
Line.LN5865236-1,bus1=M1047751.1,bus2=L2973154.1
Line.LN5593232-1,bus1=L3010565.3,bus2=L2897775.3
Line.LN5740283-1,bus1=M1125955.3,bus2=M1125957.3
Line.LN6106559-1,bus1=M1069640.2,bus2=L2804269.2
Line.LN5714056-3,bus1=M1026702,bus2=N1139551
Line.LN5985355-3,bus1=N1136355.2,bus2=L2783231.2
Line.LN5531956-1,bus1=L2748143.1,bus2=L3251854.1
Line.LN5650048-1,bus1=M1069610.2,bus2=M1069600.2
Line.LN6290203-1,bus1=M1069424,bus2=L2935549
Line.LN6134414-1,bus1=P895089.3,bus2=L3235242.3
Line.LN6259998-2,bus1=M1026795.3,bus2=N1140522.3
Line.LN6078767-1,bus1=L3030199,bus2=M1125934
Line.LN6017300-1,bus1=M1069189.3,bus2=L2860487.3
Line.LN8979257-2,bus1=221-312488,bus2=M1089183
Line.LN81048109-1,bus1=M1108464.2,bus2=L3102286.2
Line.293471,bus1=F739845,bus2=293471
Line.LN5534965-2,bus1=P827499.1,bus2=N1139254.1
Line.LN5655683-1,bus1=M1026657.1,bus2=M1026656.1
Line.LN5686247-1,bus1=M1108299.2,bus2=M1108300.2
Line.LN6048642-1,bus1=L3198355.2,bus2=L2805037.2
Line.LN5928544-3,bus1=N1137994.3,bus2=M1069484.3
Line.LN6108172-1,bus1=L2860504.1,bus2=L2860493.1
Line.LN5532754-1,bus1=M1026783,bus2=M1026780
Line.LN5591834-1,bus1=P895111.3,bus2=L2895496.3
Line.LN6347196-2,bus1=N1140819,bus2=M1026700
Line.LN5532741-1,bus1=M1089173.3,bus2=L2935551.3
Line.LN5804803-1,bus1=M1026344.1,bus2=M1026364.1
Line.LN6169248-1,bus1=L2879070,bus2=L3216345
Line.LN5532786-2,bus1=M1069428.2,bus2=N1139257.2
Line.LN5744339-1,bus1=L2991919.1,bus2=M1026361.1
Line.LN5531255-3,bus1=N1147857.1,bus2=M1009742.1
Line.LN5926308-2,bus1=Q14412,bus2=M1047325
Line.LN5683856-3,bus1=N1139263.1,bus2=L3048227.1
Line.LN6171502-1,bus1=P827506.1,bus2=M1069469.1
Line.LN5593228-1,bus1=M1027019.2,bus2=L2785522.2
Line.LN6380800-1,bus1=L3216338.2,bus2=L2973146.2
Line.LN6199525-2,bus1=M3037452.1,bus2=L2973164.1
Line.LN5772710-2,bus1=L3120376.1,bus2=M1026925.1
Line.LN8961760-1,bus1=M1047612.3,bus2=P828360.3
Line.LN6047556-1,bus1=M1089195.3,bus2=L3141393.3
Line.LN6138603-1,bus1=M1026946.2,bus2=M1026940.2
Line.LN6108139-1,bus1=M1047471.2,bus2=L3216349.2
Line.LN6388581-2,bus1=M1047401.1,bus2=L2748132.1
Line.LN5774460-1,bus1=L3122820.1,bus2=L3141398.1
Line.LN5624387-1,bus1=M1108360.3,bus2=L3048968.3
Line.LN6137087-1,bus1=L2801950.3,bus2=M1069224.3
Line.LN6077809-1,bus1=L2766746.3,bus2=M1027073.3
Line.LN6440079-1,bus1=L2895496.3,bus2=M1142873.3
Line.LN5804794-1,bus1=M1069181.1,bus2=L2973151.1
Line.LN5654484-1,bus1=L3179682.3,bus2=L2786274.3
Line.LN5774465-1,bus1=L3066816.1,bus2=M1026667.1
Line.LN5473349-1,bus1=M1108529,bus2=M1108532
Line.LN6169253-1,bus1=L2766723.1,bus2=L3122822.1
Line.LN6350536-1,bus1=L2673312.1,bus2=L3235247.1
Line.LN6048523-1,bus1=M1166391.3,bus2=L3254873.3
Line.LN5594152-1,bus1=L2861157.3,bus2=P901951.3
Line.LN5865248-1,bus1=M1047346,bus2=M1047345
Line.LN6046143-1,bus1=L2989596.2,bus2=L2822873.2
Line.LN5803287-1,bus1=M1108328.3,bus2=L2875754.3
Line.LN5589094-1,bus1=L2786204.3,bus2=M1209819.3
Line.LN5954983-1,bus1=P901972.1,bus2=M1009726.1
Line.LN5924696-2,bus1=M1047702.1,bus2=N1137001.1
Line.LN6506311-4,bus1=L2767340,bus2=M3037449
Line.LN5653493-1,bus1=M1047457.2,bus2=L2710546.2
Line.LN5684836-1,bus1=L2674027,bus2=L2692633
Line.LN5715016-3,bus1=N1142108.1,bus2=L2674051.1
Line.LN6138614-1,bus1=M1069135,bus2=R18242
Line.LN6077781-2,bus1=M1047534,bus2=N1136663
Line.LN5675121-1,bus1=M1108508.3,bus2=L3097861.3
Line.LN5773046-1,bus1=M1069560.2,bus2=M1069567.2
Line.LN6380809-2,bus1=L2973153,bus2=N1136998
Line.LN6018326-1,bus1=L2898515.3,bus2=M1166387.3
Line.LN5472356-1,bus1=M1047442.2,bus2=L3235250.2
Line.LN6139641-1,bus1=M1142871,bus2=M1142874
Line.LN6018341-1,bus1=L2955081,bus2=M1108315
Line.LN6017302-1,bus1=L2973162,bus2=M1026333
Line.LN6199505-1,bus1=M1009832.2,bus2=L2860479.2
Line.LN5682327-1,bus1=M1026854.1,bus2=P901894.1
